refund_id,order_id,refund_date,refund_reason
93,432,2025-08-12,Changed Mind
94,434,2025-03-14,Late Delivery
95,442,2025-12-26,Damaged
96,444,2025-02-13,Wrong Item
97,447,2025-12-03,Damaged
98,452,2026-01-15,Late Delivery
99,459,2025-11-21,Damaged
100,460,2025-06-12,Late Delivery
101,469,2025-06-20,Changed Mind
102,474,2025-06-29,Damaged
103,475,2025-05-26,Changed Mind
104,478,2025-09-05,Late Delivery
105,479,2026-01-16,Damaged
106,481,2025-12-08,Late Delivery
107,489,2025-05-01,Wrong Item
108,492,2025-03-14,Late Delivery
109,495,2025-09-08,Late Delivery
110,500,2025-07-02,Wrong Item
111,503,2025-09-05,Late Delivery
112,516,2025-10-24,Wrong Item
113,520,2025-07-12,Wrong Item
114,522,2025-12-11,Changed Mind
115,523,2025-08-28,Late Delivery
116,526,2025-05-30,Changed Mind
117,529,2025-09-06,Wrong Item
118,542,2025-12-16,Damaged
119,543,2025-02-17,Late Delivery
120,544,2025-06-17,Wrong Item
121,547,2025-08-10,Wrong Item
122,552,2025-04-02,Late Delivery
123,561,2025-08-16,Wrong Item
124,569,2025-08-08,Wrong Item
125,572,2025-05-03,Damaged
126,578,2026-01-15,Damaged
127,585,2025-04-04,Damaged
128,588,2025-08-24,Late Delivery
129,607,2025-10-17,Damaged
130,611,2025-11-21,Damaged
131,617,2025-04-22,Late Delivery
132,620,2026-01-09,Damaged
133,623,2025-10-20,Wrong Item
134,628,2025-04-11,Late Delivery
135,636,2025-04-21,Wrong Item
136,642,2025-02-08,Wrong Item
137,645,2025-08-23,Damaged
138,653,2025-07-25,Damaged
139,664,2025-03-28,Changed Mind
140,665,2025-07-02,Changed Mind
141,689,2025-07-29,Changed Mind
142,693,2025-07-15,Changed Mind
143,698,2025-05-05,Late Delivery
144,702,2025-07-09,Changed Mind
145,706,2025-08-09,Late Delivery
146,709,2025-02-18,Changed Mind
147,715,2025-11-07,Changed Mind
148,719,2025-03-22,Wrong Item
149,729,2025-08-06,Changed Mind
150,739,2025-05-19,Late Delivery
151,745,2025-05-27,Wrong Item
152,754,2025-12-17,Changed Mind
153,757,2026-01-14,Late Delivery
154,769,2025-08-08,Wrong Item
155,773,2025-06-03,Damaged
156,777,2025-11-06,Late Delivery
157,779,2025-11-21,Damaged
158,780,2025-10-02,Wrong Item
159,784,2025-04-14,Damaged
160,787,2025-03-30,Wrong Item
161,788,2025-03-28,Late Delivery
162,789,2025-08-11,Changed Mind
163,796,2025-10-15,Late Delivery
164,801,2026-01-12,Damaged
165,804,2026-01-19,Late Delivery
166,808,2025-05-28,Changed Mind
167,818,2025-12-23,Wrong Item
168,821,2026-01-01,Changed Mind
169,827,2026-01-01,Wrong Item
170,832,2026-01-16,Changed Mind
171,833,2025-03-17,Late Delivery
172,836,2025-09-28,Late Delivery
173,837,2025-09-08,Late Delivery
174,839,2025-09-25,Late Delivery
175,842,2025-05-04,Damaged
176,843,2025-02-15,Wrong Item
177,844,2025-08-29,Changed Mind
178,845,2025-07-07,Wrong Item
179,846,2025-03-01,Late Delivery
180,850,2025-01-29,Late Delivery
181,857,2025-04-14,Damaged
182,864,2025-04-06,Late Delivery
183,867,2025-06-30,Late Delivery
184,880,2025-02-02,Damaged
185,888,2025-04-10,Damaged
186,891,2025-02-01,Damaged
187,893,2025-02-01,Wrong Item
188,896,2025-02-18,Wrong Item
189,901,2025-03-11,Changed Mind
190,903,2025-08-01,Damaged
191,905,2025-07-19,Wrong Item
192,909,2025-12-23,Wrong Item
193,914,2025-06-05,Wrong Item
194,915,2025-12-01,Changed Mind
195,920,2025-03-13,Changed Mind
196,921,2025-08-08,Damaged
197,942,2025-04-08,Late Delivery
198,954,2025-09-27,Changed Mind
199,955,2025-04-25,Late Delivery
200,956,2025-02-17,Wrong Item
201,959,2025-08-05,Wrong Item
202,962,2025-10-22,Changed Mind
203,965,2025-07-22,Damaged
204,970,2025-03-20,Wrong Item
205,971,2025-03-21,Changed Mind
206,972,2025-04-24,Damaged
207,985,2025-03-19,Changed Mind
208,987,2025-03-30,Wrong Item
209,988,2025-11-30,Changed Mind
210,990,2025-09-01,Wrong Item
211,991,2025-07-06,Late Delivery
212,995,2025-03-15,Changed Mind
213,996,2025-12-25,Damaged
214,997,2025-03-03,Wrong Item
215,1003,2025-11-04,Late Delivery
216,1011,2025-11-09,Changed Mind
217,1013,2025-04-11,Damaged
218,1022,2025-05-26,Changed Mind
219,1027,2025-06-08,Changed Mind
220,1035,2025-10-28,Damaged
221,1037,2025-04-24,Changed Mind
222,1042,2025-10-07,Changed Mind
223,1043,2025-12-05,Wrong Item
224,1048,2025-08-03,Damaged
225,1050,2025-01-30,Changed Mind
226,1053,2025-05-11,Damaged
227,1055,2025-08-25,Damaged
228,1062,2025-10-29,Wrong Item
229,1063,2025-05-29,Wrong Item
230,1070,2025-07-02,Late Delivery
231,1071,2025-07-31,Damaged
232,1072,2025-03-29,Changed Mind
233,1077,2025-07-06,Late Delivery
234,1085,2025-05-30,Late Delivery
235,1091,2025-07-06,Late Delivery
236,1092,2025-04-30,Wrong Item
237,1096,2025-10-28,Damaged
238,1097,2025-06-05,Wrong Item
239,1099,2025-08-01,Damaged
240,1101,2025-12-08,Damaged
241,1102,2025-06-12,Changed Mind
242,1110,2025-06-15,Late Delivery
243,1118,2025-05-29,Damaged
244,1119,2025-01-29,Changed Mind
245,1120,2025-10-23,Late Delivery
246,1123,2025-04-02,Changed Mind
247,1125,2025-03-16,Damaged
248,1134,2025-11-04,Wrong Item
249,1136,2025-05-23,Damaged
250,1142,2025-10-08,Late Delivery
251,1152,2025-11-16,Late Delivery
252,1164,2026-01-05,Changed Mind
253,1170,2025-05-07,Late Delivery
254,1171,2025-05-26,Damaged
255,1181,2025-02-18,Late Delivery
256,1184,2025-07-14,Wrong Item
257,1190,2025-12-17,Damaged
258,1193,2025-07-02,Changed Mind
259,1196,2025-09-22,Changed Mind
260,1200,2025-02-19,Changed Mind
261,1215,2025-06-03,Damaged
262,1229,2025-10-13,Wrong Item
263,1230,2025-10-24,Damaged
264,1231,2025-12-06,Damaged
265,1234,2025-12-25,Damaged
266,1238,2025-08-05,Changed Mind
267,1245,2025-08-06,Damaged
268,1250,2026-01-13,Late Delivery
269,1252,2025-08-09,Damaged
270,1258,2025-09-01,Changed Mind
271,1262,2025-03-26,Damaged
272,1264,2025-11-28,Late Delivery
273,1266,2025-02-26,Late Delivery
274,1271,2025-04-26,Late Delivery
275,1277,2025-11-08,Damaged
276,1286,2025-11-03,Changed Mind
277,1288,2025-06-21,Changed Mind
278,1293,2025-03-02,Changed Mind
279,1294,2026-01-11,Late Delivery
280,1300,2025-03-29,Late Delivery
281,1301,2025-04-26,Late Delivery
282,1308,2025-06-25,Changed Mind
283,1309,2025-01-28,Wrong Item
284,1315,2025-01-25,Damaged
285,1319,2025-05-18,Changed Mind
286,1322,2025-09-04,Changed Mind
287,1328,2025-02-26,Wrong Item
288,1346,2025-07-05,Late Delivery
289,1349,2025-06-18,Wrong Item
290,1358,2025-04-22,Late Delivery
291,1367,2025-09-12,Wrong Item
292,1370,2025-12-26,Changed Mind
293,1376,2025-11-24,Changed Mind
294,1378,2025-12-29,Changed Mind
295,1383,2025-03-15,Late Delivery
296,1384,2025-08-15,Late Delivery
297,1385,2025-08-21,Changed Mind
298,1386,2025-04-28,Damaged
299,1396,2025-01-23,Late Delivery
300,1397,2025-09-14,Late Delivery
301,1402,2025-01-29,Changed Mind
302,1406,2025-11-11,Wrong Item
303,1409,2025-04-07,Damaged
304,1410,2025-07-27,Damaged
305,1414,2025-10-21,Changed Mind
306,1418,2025-03-19,Damaged
307,1432,2025-09-03,Wrong Item
308,1436,2025-06-01,Changed Mind
309,1440,2025-12-07,Damaged
310,1442,2025-10-26,Changed Mind
311,1445,2026-01-04,Late Delivery
312,1446,2025-01-17,Late Delivery
313,1448,2025-01-27,Damaged
314,1455,2025-09-22,Wrong Item
315,1457,2025-11-19,Wrong Item
316,1458,2025-02-26,Wrong Item
317,1464,2025-12-17,Late Delivery
318,1468,2025-03-05,Changed Mind
319,1470,2025-08-27,Changed Mind
320,1477,2025-04-07,Wrong Item
321,1479,2026-01-07,Damaged
322,1490,2026-01-16,Late Delivery
323,1492,2025-06-20,Damaged
324,1496,2025-08-30,Wrong Item
325,1499,2025-08-25,Changed Mind
326,1503,2025-07-30,Wrong Item
327,1507,2025-09-15,Damaged
328,1510,2025-05-04,Late Delivery
329,1515,2025-11-20,Changed Mind
330,1517,2025-09-04,Late Delivery
331,1519,2025-11-01,Late Delivery
332,1523,2025-10-25,Changed Mind
333,1530,2025-02-22,Damaged
334,1538,2025-09-09,Changed Mind
335,1539,2026-01-09,Late Delivery
336,1541,2025-03-12,Changed Mind
337,1546,2025-09-15,Wrong Item
338,1549,2025-12-03,Wrong Item
339,1550,2025-06-26,Late Delivery
340,1551,2025-12-14,Late Delivery
341,1553,2025-05-24,Changed Mind
342,1568,2025-06-26,Late Delivery
343,1570,2025-08-02,Late Delivery
344,1575,2025-08-04,Damaged
345,1579,2025-07-23,Late Delivery
346,1580,2025-02-19,Changed Mind
347,1586,2025-11-25,Wrong Item
348,1588,2025-04-19,Changed Mind
349,1590,2025-10-31,Wrong Item
350,1593,2025-03-23,Wrong Item
351,1611,2025-04-30,Late Delivery
352,1634,2025-07-31,Wrong Item
353,1635,2025-10-13,Wrong Item
354,1636,2025-07-07,Wrong Item
355,1637,2025-10-17,Late Delivery
356,1639,2025-03-09,Damaged
357,1640,2025-07-30,Late Delivery
358,1642,2025-08-08,Late Delivery
359,1649,2025-03-17,Changed Mind
360,1650,2025-06-21,Changed Mind
361,1651,2025-09-28,Wrong Item
362,1652,2025-06-12,Wrong Item
363,1653,2025-03-22,Damaged
364,1655,2025-02-09,Wrong Item
365,1662,2025-03-24,Damaged
366,1663,2025-07-20,Late Delivery
367,1665,2026-01-22,Late Delivery
368,1666,2025-03-22,Changed Mind
369,1668,2025-10-31,Damaged
370,1669,2025-04-11,Wrong Item
371,1679,2025-07-16,Damaged
372,1683,2025-07-06,Late Delivery
373,1686,2025-06-08,Wrong Item
374,1702,2025-11-28,Damaged
375,1706,2025-06-15,Changed Mind
376,1710,2025-12-10,Damaged
377,1712,2025-06-13,Wrong Item
378,1713,2025-12-31,Late Delivery
379,1715,2025-03-17,Late Delivery
380,1719,2025-04-30,Changed Mind
381,1720,2025-05-24,Wrong Item
382,1723,2025-03-18,Changed Mind
383,1731,2025-12-04,Late Delivery
384,1732,2025-05-27,Wrong Item
385,1733,2025-08-22,Damaged
386,1737,2025-12-10,Damaged
387,1741,2025-06-25,Damaged
388,1744,2025-07-29,Wrong Item
389,1751,2025-09-06,Damaged
390,1753,2025-06-03,Changed Mind
391,1755,2025-05-30,Wrong Item
392,1759,2025-03-07,Wrong Item
393,1772,2025-05-25,Wrong Item
394,1778,2026-01-18,Wrong Item
395,1779,2025-09-25,Damaged
396,1780,2026-01-09,Wrong Item
397,1787,2025-06-04,Damaged
398,1789,2025-02-04,Wrong Item
399,1798,2025-03-20,Changed Mind
400,1800,2025-08-02,Wrong Item
401,1803,2025-07-31,Changed Mind
402,1807,2025-09-09,Changed Mind
403,1811,2025-03-01,Late Delivery
404,1823,2025-06-19,Wrong Item
405,1826,2025-02-11,Damaged
406,1827,2025-12-04,Damaged
407,1829,2025-03-28,Changed Mind
408,1834,2025-01-12,Wrong Item
409,1838,2025-10-12,Damaged
410,1840,2025-09-15,Changed Mind
411,1841,2025-11-29,Damaged
412,1843,2025-09-26,Wrong Item
413,1846,2026-01-15,Changed Mind
414,1848,2025-05-27,Changed Mind
415,1850,2025-09-18,Wrong Item
416,1871,2025-08-11,Changed Mind
417,1877,2025-12-15,Damaged
418,1880,2025-04-04,Changed Mind
419,1883,2025-10-09,Changed Mind
420,1890,2025-12-12,Wrong Item
421,1891,2025-10-22,Wrong Item
422,1893,2025-06-06,Changed Mind
423,1896,2025-03-13,Damaged
424,1901,2025-10-03,Damaged
425,1903,2025-03-19,Damaged
426,1910,2025-06-23,Wrong Item
427,1918,2025-11-30,Late Delivery
428,1920,2025-12-10,Damaged
429,1929,2025-02-18,Late Delivery
430,1931,2025-09-02,Wrong Item
431,1932,2025-10-12,Changed Mind
432,1941,2025-05-15,Wrong Item
433,1943,2025-02-24,Late Delivery
434,1944,2025-08-27,Wrong Item
435,1965,2025-10-14,Damaged
436,1968,2025-07-23,Changed Mind
437,1970,2025-07-11,Late Delivery
438,1973,2025-05-14,Damaged
439,1974,2025-02-01,Damaged
440,1992,2025-01-26,Changed Mind
441,1999,2025-03-21,Wrong Item
