date,platform,campaign,spend,clicks,impressions
2025-01-16,TikTok Ads,Retargeting,161.21,324,22474
2025-01-17,Google Ads,Brand,45.56,1649,19354
2025-01-17,Meta Ads,Brand,428.72,1216,33046
2025-01-17,TikTok Ads,Brand,369.1,1626,31845
2025-01-18,Google Ads,Retargeting,315.15,362,34332
2025-01-18,Meta Ads,Prospecting,380.63,1341,34368
2025-01-18,TikTok Ads,Prospecting,259.32,970,12730
2025-01-19,Google Ads,Prospecting,361.99,1096,46515
2025-01-19,Meta Ads,Prospecting,363.51,1033,32048
2025-01-19,TikTok Ads,Prospecting,298.97,1326,39271
2025-01-20,Google Ads,Retargeting,37.57,469,14303
2025-01-20,Meta Ads,Prospecting,434.32,830,15325
2025-01-20,TikTok Ads,Prospecting,224.01,792,38445
2025-01-21,Google Ads,Brand,469.04,786,17680
2025-01-21,Meta Ads,Retargeting,60.68,1559,6506
2025-01-21,TikTok Ads,Prospecting,233.36,740,16084
2025-01-22,Google Ads,Retargeting,39.75,1069,41706
2025-01-22,Meta Ads,Prospecting,224.53,977,29344
2025-01-22,TikTok Ads,Prospecting,196.41,1038,21776
2025-01-23,Google Ads,Prospecting,203.54,387,29946
2025-01-23,Meta Ads,Brand,147.5,175,24533
2025-01-23,TikTok Ads,Brand,161.37,1047,34606
2025-01-24,Google Ads,Retargeting,328.95,1629,19115
2025-01-24,Meta Ads,Brand,67.24,166,24608
2025-01-24,TikTok Ads,Brand,282.09,703,13887
2025-01-25,Google Ads,Retargeting,178.04,639,49838
2025-01-25,Meta Ads,Retargeting,425.82,410,47244
2025-01-25,TikTok Ads,Retargeting,499.04,1771,47935
2025-01-26,Google Ads,Retargeting,280.7,554,1559
2025-01-26,Meta Ads,Prospecting,155.29,729,27464
2025-01-26,TikTok Ads,Prospecting,414.49,1571,43946
2025-01-27,Google Ads,Brand,246.56,1069,10783
2025-01-27,Meta Ads,Prospecting,129.24,1501,14754
2025-01-27,TikTok Ads,Prospecting,132.19,1222,37216
2025-01-28,Google Ads,Prospecting,366.8,964,23325
2025-01-28,Meta Ads,Brand,170.28,404,29101
2025-01-28,TikTok Ads,Retargeting,220.49,918,30489
2025-01-29,Google Ads,Retargeting,34.45,304,38847
2025-01-29,Meta Ads,Brand,166.67,1531,1634
2025-01-29,TikTok Ads,Prospecting,408.99,1728,24243
2025-01-30,Google Ads,Prospecting,128.24,891,45942
2025-01-30,Meta Ads,Prospecting,386.16,1434,36232
2025-01-30,TikTok Ads,Prospecting,176.52,67,38196
2025-01-31,Google Ads,Brand,462.63,334,22643
2025-01-31,Meta Ads,Retargeting,322.32,1254,40835
2025-01-31,TikTok Ads,Retargeting,436.13,800,14382
2025-02-01,Google Ads,Prospecting,50.58,811,13342
2025-02-01,Meta Ads,Prospecting,72.15,1186,30591
2025-02-01,TikTok Ads,Retargeting,449.48,210,12234
2025-02-02,Google Ads,Brand,343.95,383,3101
2025-02-02,Meta Ads,Retargeting,309.61,74,13235
2025-02-02,TikTok Ads,Brand,53.36,1992,26289
2025-02-03,Google Ads,Prospecting,118.83,616,44225
2025-02-03,Meta Ads,Retargeting,53.59,137,25159
2025-02-03,TikTok Ads,Retargeting,25.3,689,27926
2025-02-04,Google Ads,Prospecting,95.38,246,9463
2025-02-04,Meta Ads,Retargeting,220.84,1541,5506
2025-02-04,TikTok Ads,Prospecting,478.45,1792,14531
2025-02-05,Google Ads,Brand,437.82,654,29324
2025-02-05,Meta Ads,Retargeting,339.1,345,40564
2025-02-05,TikTok Ads,Retargeting,470.79,1223,14302
2025-02-06,Google Ads,Retargeting,364.05,959,19051
2025-02-06,Meta Ads,Brand,23.57,312,30211
2025-02-06,TikTok Ads,Brand,415.8,1258,17176
2025-02-07,Google Ads,Retargeting,177.87,1185,33175
2025-02-07,Meta Ads,Prospecting,242.09,100,49319
2025-02-07,TikTok Ads,Brand,158.2,1824,30904
2025-02-08,Google Ads,Prospecting,356.15,1477,20493
2025-02-08,Meta Ads,Prospecting,314.25,1678,12477
2025-02-08,TikTok Ads,Prospecting,139.58,1863,41483
2025-02-09,Google Ads,Retargeting,227.4,807,44193
2025-02-09,Meta Ads,Brand,355.29,215,26791
2025-02-09,TikTok Ads,Retargeting,473.93,510,11350
2025-02-10,Google Ads,Prospecting,443.63,1121,20129
2025-02-10,Meta Ads,Retargeting,459.82,1449,48614
2025-02-10,TikTok Ads,Retargeting,453.07,1881,33341
2025-02-11,Google Ads,Prospecting,496.35,1152,8944
2025-02-11,Meta Ads,Prospecting,56.74,235,34056
2025-02-11,TikTok Ads,Prospecting,216.85,357,17565
2025-02-12,Google Ads,Brand,262.91,966,2750
2025-02-12,Meta Ads,Brand,326.66,1403,31271
2025-02-12,TikTok Ads,Prospecting,184.96,837,13740
2025-02-13,Google Ads,Prospecting,38.13,533,8515
2025-02-13,Meta Ads,Retargeting,460.23,689,44928
2025-02-13,TikTok Ads,Retargeting,242.84,964,5471
2025-02-14,Google Ads,Brand,283.25,516,47765
2025-02-14,Meta Ads,Prospecting,87.32,1700,19293
2025-02-14,TikTok Ads,Brand,101.88,56,40779
2025-02-15,Google Ads,Brand,105.07,274,36039
2025-02-15,Meta Ads,Retargeting,207.61,178,45000
2025-02-15,TikTok Ads,Brand,345.14,334,29878
2025-02-16,Google Ads,Prospecting,105.41,1483,3257
2025-02-16,Meta Ads,Retargeting,275.5,925,46661
2025-02-16,TikTok Ads,Brand,421.52,1681,35267
2025-02-17,Google Ads,Retargeting,338.02,1371,7736
2025-02-17,Meta Ads,Prospecting,351.37,929,4435
2025-02-17,TikTok Ads,Retargeting,22.24,1601,25732
2025-02-18,Google Ads,Brand,465.83,787,16632
2025-02-18,Meta Ads,Brand,63.87,883,2831
2025-02-18,TikTok Ads,Brand,181.82,413,45561
2025-02-19,Google Ads,Retargeting,50.32,1983,7330
2025-02-19,Meta Ads,Retargeting,100.58,362,3884
2025-02-19,TikTok Ads,Prospecting,266.0,1690,22439
2025-02-20,Google Ads,Prospecting,289.79,408,41938
2025-02-20,Meta Ads,Brand,468.48,829,29041
2025-02-20,TikTok Ads,Brand,131.56,236,24368
2025-02-21,Google Ads,Prospecting,103.34,843,43860
2025-02-21,Meta Ads,Prospecting,25.75,455,31066
2025-02-21,TikTok Ads,Brand,51.69,1689,19248
2025-02-22,Google Ads,Retargeting,319.48,109,5412
2025-02-22,Meta Ads,Brand,217.33,1591,40247
2025-02-22,TikTok Ads,Prospecting,491.89,228,47696
2025-02-23,Google Ads,Retargeting,399.8,1908,38303
2025-02-23,Meta Ads,Brand,140.93,214,40312
2025-02-23,TikTok Ads,Prospecting,491.08,1446,26465
2025-02-24,Google Ads,Retargeting,463.79,1599,46463
2025-02-24,Meta Ads,Brand,179.38,1321,46064
2025-02-24,TikTok Ads,Prospecting,489.45,1384,32596
2025-02-25,Google Ads,Brand,180.85,1266,39340
2025-02-25,Meta Ads,Prospecting,203.54,1331,49615
2025-02-25,TikTok Ads,Brand,261.64,1463,1871
2025-02-26,Google Ads,Brand,30.18,1574,9130
2025-02-26,Meta Ads,Prospecting,133.47,897,16961
2025-02-26,TikTok Ads,Retargeting,58.11,301,25544
2025-02-27,Google Ads,Prospecting,162.38,330,25625
2025-02-27,Meta Ads,Brand,328.18,507,48533
2025-02-27,TikTok Ads,Retargeting,494.5,928,49447
2025-02-28,Google Ads,Prospecting,84.45,670,43179
2025-02-28,Meta Ads,Brand,270.02,869,43470
2025-02-28,TikTok Ads,Prospecting,380.26,489,49029
2025-03-01,Google Ads,Prospecting,184.51,441,36344
2025-03-01,Meta Ads,Brand,455.18,1381,17275
2025-03-01,TikTok Ads,Retargeting,354.21,475,40850
2025-03-02,Google Ads,Prospecting,270.31,395,29990
2025-03-02,Meta Ads,Retargeting,22.9,1801,33220
2025-03-02,TikTok Ads,Brand,477.76,126,42573
2025-03-03,Google Ads,Brand,470.37,277,7013
2025-03-03,Meta Ads,Brand,304.46,1722,14393
2025-03-03,TikTok Ads,Brand,263.56,892,48512
2025-03-04,Google Ads,Prospecting,169.5,1497,13945
2025-03-04,Meta Ads,Brand,223.53,1260,17316
2025-03-04,TikTok Ads,Prospecting,156.97,938,42654
2025-03-05,Google Ads,Brand,150.49,1620,32534
2025-03-05,Meta Ads,Brand,476.49,756,27099
2025-03-05,TikTok Ads,Prospecting,100.53,923,28701
2025-03-06,Google Ads,Retargeting,312.51,907,11215
2025-03-06,Meta Ads,Prospecting,29.51,801,29009
2025-03-06,TikTok Ads,Brand,384.25,1907,20675
2025-03-07,Google Ads,Retargeting,277.85,1152,48621
2025-03-07,Meta Ads,Brand,143.5,969,21044
2025-03-07,TikTok Ads,Prospecting,155.95,1171,40716
2025-03-08,Google Ads,Prospecting,54.53,299,47849
2025-03-08,Meta Ads,Prospecting,113.94,1896,13427
2025-03-08,TikTok Ads,Brand,26.16,1045,48865
2025-03-09,Google Ads,Retargeting,199.64,848,28251
2025-03-09,Meta Ads,Prospecting,485.84,784,26168
2025-03-09,TikTok Ads,Prospecting,167.75,1224,5668
2025-03-10,Google Ads,Prospecting,444.8,1907,9157
2025-03-10,Meta Ads,Prospecting,467.42,352,13728
2025-03-10,TikTok Ads,Prospecting,479.41,1599,48333
2025-03-11,Google Ads,Prospecting,264.61,1020,42614
2025-03-11,Meta Ads,Retargeting,196.73,138,43657
2025-03-11,TikTok Ads,Prospecting,464.73,1526,17173
2025-03-12,Google Ads,Brand,249.31,1907,24685
2025-03-12,Meta Ads,Retargeting,359.15,77,46709
2025-03-12,TikTok Ads,Retargeting,329.76,555,40677
2025-03-13,Google Ads,Prospecting,473.25,321,17665
2025-03-13,Meta Ads,Brand,309.03,1969,44424
2025-03-13,TikTok Ads,Brand,25.92,1598,7049
2025-03-14,Google Ads,Retargeting,361.57,807,27061
2025-03-14,Meta Ads,Retargeting,301.36,1865,6265
2025-03-14,TikTok Ads,Retargeting,456.78,1814,28718
2025-03-15,Google Ads,Brand,418.28,537,46340
2025-03-15,Meta Ads,Prospecting,260.31,1111,44154
2025-03-15,TikTok Ads,Prospecting,301.32,1523,27975
2025-03-16,Google Ads,Retargeting,437.32,243,42692
2025-03-16,Meta Ads,Retargeting,392.81,725,10352
2025-03-16,TikTok Ads,Prospecting,379.39,1924,27081
2025-03-17,Google Ads,Retargeting,167.89,364,33225
2025-03-17,Meta Ads,Brand,66.5,1604,46633
2025-03-17,TikTok Ads,Prospecting,271.98,1360,19896
2025-03-18,Google Ads,Retargeting,226.86,381,25553
2025-03-18,Meta Ads,Brand,357.94,425,32881
2025-03-18,TikTok Ads,Brand,261.25,245,30534
2025-03-19,Google Ads,Retargeting,410.9,400,14168
2025-03-19,Meta Ads,Brand,379.96,1677,13575
2025-03-19,TikTok Ads,Prospecting,491.81,1805,27790
2025-03-20,Google Ads,Prospecting,320.88,1298,8156
2025-03-20,Meta Ads,Retargeting,99.74,620,6616
2025-03-20,TikTok Ads,Prospecting,79.85,151,23423
2025-03-21,Google Ads,Brand,301.11,998,32797
2025-03-21,Meta Ads,Retargeting,385.06,39,5001
2025-03-21,TikTok Ads,Prospecting,380.86,34,44602
2025-03-22,Google Ads,Retargeting,398.82,105,7346
2025-03-22,Meta Ads,Brand,270.72,34,25619
2025-03-22,TikTok Ads,Retargeting,269.64,1990,18421
2025-03-23,Google Ads,Prospecting,247.15,710,40608
2025-03-23,Meta Ads,Prospecting,181.54,1416,23483
2025-03-23,TikTok Ads,Prospecting,412.09,1947,24672
2025-03-24,Google Ads,Retargeting,211.27,1270,4751
2025-03-24,Meta Ads,Prospecting,439.08,1671,7565
2025-03-24,TikTok Ads,Brand,239.32,1450,27332
2025-03-25,Google Ads,Retargeting,421.0,1914,10100
2025-03-25,Meta Ads,Brand,308.92,1799,35775
2025-03-25,TikTok Ads,Prospecting,476.51,1558,17288
2025-03-26,Google Ads,Prospecting,236.92,1425,44180
2025-03-26,Meta Ads,Prospecting,267.16,1372,13316
2025-03-26,TikTok Ads,Brand,493.37,1981,22114
2025-03-27,Google Ads,Brand,324.21,1808,3998
2025-03-27,Meta Ads,Retargeting,176.25,929,16306
2025-03-27,TikTok Ads,Retargeting,252.58,1533,41146
2025-03-28,Google Ads,Brand,187.2,1943,32203
2025-03-28,Meta Ads,Retargeting,431.41,1873,7583
2025-03-28,TikTok Ads,Retargeting,204.73,1263,13784
2025-03-29,Google Ads,Retargeting,88.72,1085,38479
2025-03-29,Meta Ads,Retargeting,262.23,281,33632
2025-03-29,TikTok Ads,Brand,164.65,1398,36962
2025-03-30,Google Ads,Prospecting,100.67,933,8581
2025-03-30,Meta Ads,Prospecting,338.07,513,16948
2025-03-30,TikTok Ads,Brand,101.81,1953,44237
2025-03-31,Google Ads,Retargeting,62.93,910,47908
2025-03-31,Meta Ads,Brand,96.91,1922,22397
2025-03-31,TikTok Ads,Prospecting,387.83,471,48131
2025-04-01,Google Ads,Prospecting,339.65,1968,44948
2025-04-01,Meta Ads,Brand,339.43,1909,36031
2025-04-01,TikTok Ads,Retargeting,368.2,205,46336
2025-04-02,Google Ads,Prospecting,438.53,1928,38746
2025-04-02,Meta Ads,Retargeting,51.04,722,25707
2025-04-02,TikTok Ads,Retargeting,376.62,1504,26011
2025-04-03,Google Ads,Retargeting,328.21,1170,29636
2025-04-03,Meta Ads,Brand,127.3,256,20069
2025-04-03,TikTok Ads,Brand,73.46,716,49534
2025-04-04,Google Ads,Retargeting,469.86,1544,8609
2025-04-04,Meta Ads,Retargeting,196.51,1767,21537
2025-04-04,TikTok Ads,Prospecting,296.92,23,21368
2025-04-05,Google Ads,Brand,303.23,408,26437
2025-04-05,Meta Ads,Prospecting,173.43,767,45518
2025-04-05,TikTok Ads,Brand,269.48,1252,39717
2025-04-06,Google Ads,Brand,71.16,38,36277
2025-04-06,Meta Ads,Prospecting,171.64,1691,20452
2025-04-06,TikTok Ads,Brand,259.92,953,10661
2025-04-07,Google Ads,Retargeting,156.03,1549,44604
2025-04-07,Meta Ads,Retargeting,36.49,675,21243
2025-04-07,TikTok Ads,Retargeting,495.36,272,18920
2025-04-08,Google Ads,Retargeting,295.51,1312,15136
2025-04-08,Meta Ads,Prospecting,159.92,1999,25687
2025-04-08,TikTok Ads,Brand,490.95,702,11007
2025-04-09,Google Ads,Retargeting,121.09,1520,15750
2025-04-09,Meta Ads,Retargeting,373.15,1910,12732
2025-04-09,TikTok Ads,Prospecting,369.15,632,44204
2025-04-10,Google Ads,Brand,495.71,1142,26708
2025-04-10,Meta Ads,Prospecting,222.77,989,23826
2025-04-10,TikTok Ads,Prospecting,207.71,1101,48628
2025-04-11,Google Ads,Prospecting,155.53,1910,13785
2025-04-11,Meta Ads,Retargeting,431.0,826,7377
2025-04-11,TikTok Ads,Brand,175.24,1640,39036
2025-04-12,Google Ads,Brand,427.91,1473,20927
2025-04-12,Meta Ads,Prospecting,334.22,1202,10015
2025-04-12,TikTok Ads,Prospecting,354.06,616,10491
2025-04-13,Google Ads,Brand,124.71,1552,13822
2025-04-13,Meta Ads,Retargeting,332.59,761,48576
2025-04-13,TikTok Ads,Retargeting,68.93,1628,10673
2025-04-14,Google Ads,Prospecting,476.19,894,45528
2025-04-14,Meta Ads,Brand,464.47,216,24303
2025-04-14,TikTok Ads,Prospecting,106.22,127,8690
2025-04-15,Google Ads,Retargeting,332.05,1235,29430
2025-04-15,Meta Ads,Brand,320.95,847,17056
2025-04-15,TikTok Ads,Brand,77.03,832,33022
2025-04-16,Google Ads,Prospecting,350.23,1974,12304
2025-04-16,Meta Ads,Retargeting,377.7,1608,46337
2025-04-16,TikTok Ads,Retargeting,336.09,1612,31387
2025-04-17,Google Ads,Retargeting,203.41,1315,43807
2025-04-17,Meta Ads,Prospecting,196.32,265,8643
2025-04-17,TikTok Ads,Brand,78.58,1333,44829
2025-04-18,Google Ads,Retargeting,127.97,1221,38550
2025-04-18,Meta Ads,Retargeting,250.16,1440,49847
2025-04-18,TikTok Ads,Brand,401.28,390,26163
2025-04-19,Google Ads,Prospecting,499.98,1459,29420
2025-04-19,Meta Ads,Prospecting,294.28,223,22314
2025-04-19,TikTok Ads,Brand,362.61,1785,36226
2025-04-20,Google Ads,Brand,214.56,1455,2294
2025-04-20,Meta Ads,Prospecting,286.91,1118,35739
2025-04-20,TikTok Ads,Prospecting,50.69,1734,39320
2025-04-21,Google Ads,Retargeting,362.6,1638,43709
2025-04-21,Meta Ads,Brand,381.68,444,44160
2025-04-21,TikTok Ads,Brand,106.72,1246,46561
2025-04-22,Google Ads,Brand,22.56,935,21597
2025-04-22,Meta Ads,Brand,38.79,1197,14515
2025-04-22,TikTok Ads,Retargeting,97.38,1171,17827
2025-04-23,Google Ads,Brand,60.61,275,34170
2025-04-23,Meta Ads,Prospecting,194.51,1134,12246
2025-04-23,TikTok Ads,Prospecting,489.01,1367,1005
2025-04-24,Google Ads,Brand,164.29,1957,35042
2025-04-24,Meta Ads,Prospecting,336.4,931,10165
2025-04-24,TikTok Ads,Retargeting,255.41,660,35253
2025-04-25,Google Ads,Prospecting,310.96,1065,14752
2025-04-25,Meta Ads,Retargeting,67.52,1698,3931
2025-04-25,TikTok Ads,Brand,37.63,310,20641
2025-04-26,Google Ads,Brand,479.56,1253,37180
2025-04-26,Meta Ads,Brand,304.06,588,9420
2025-04-26,TikTok Ads,Retargeting,318.71,172,37034
2025-04-27,Google Ads,Prospecting,145.12,1350,11703
2025-04-27,Meta Ads,Prospecting,238.91,1954,17657
2025-04-27,TikTok Ads,Retargeting,224.16,1442,10387
2025-04-28,Google Ads,Retargeting,117.81,1309,49016
2025-04-28,Meta Ads,Prospecting,497.77,1447,43308
2025-04-28,TikTok Ads,Brand,362.93,1174,44077
2025-04-29,Google Ads,Retargeting,413.84,1258,11750
2025-04-29,Meta Ads,Prospecting,414.35,667,29418
2025-04-29,TikTok Ads,Prospecting,32.44,1256,17220
2025-04-30,Google Ads,Brand,149.66,1108,8208
2025-04-30,Meta Ads,Retargeting,283.22,155,22584
2025-04-30,TikTok Ads,Retargeting,62.71,1882,22857
2025-05-01,Google Ads,Prospecting,90.24,1654,15795
2025-05-01,Meta Ads,Prospecting,24.73,792,15563
2025-05-01,TikTok Ads,Prospecting,476.86,1623,9093
2025-05-02,Google Ads,Brand,272.71,1813,21090
2025-05-02,Meta Ads,Retargeting,414.24,1022,7261
2025-05-02,TikTok Ads,Retargeting,187.47,1191,19480
2025-05-03,Google Ads,Retargeting,150.11,222,4143
2025-05-03,Meta Ads,Brand,172.64,1559,26530
2025-05-03,TikTok Ads,Brand,185.68,1538,45421
2025-05-04,Google Ads,Retargeting,284.8,1826,27388
2025-05-04,Meta Ads,Prospecting,304.31,550,1622
2025-05-04,TikTok Ads,Retargeting,266.51,338,44094
2025-05-05,Google Ads,Brand,88.48,1182,49196
2025-05-05,Meta Ads,Prospecting,45.38,1505,42890
2025-05-05,TikTok Ads,Prospecting,359.6,530,45447
2025-05-06,Google Ads,Retargeting,220.76,957,12999
2025-05-06,Meta Ads,Prospecting,493.4,1655,31714
2025-05-06,TikTok Ads,Retargeting,157.67,1970,29034
2025-05-07,Google Ads,Retargeting,472.0,1825,15992
2025-05-07,Meta Ads,Prospecting,325.1,198,21031
2025-05-07,TikTok Ads,Prospecting,389.88,1751,6907
2025-05-08,Google Ads,Retargeting,58.15,1514,16731
2025-05-08,Meta Ads,Brand,99.25,137,6543
2025-05-08,TikTok Ads,Retargeting,157.21,1923,33299
2025-05-09,Google Ads,Brand,481.84,888,45370
2025-05-09,Meta Ads,Retargeting,467.57,299,32434
2025-05-09,TikTok Ads,Prospecting,267.21,1406,35891
2025-05-10,Google Ads,Retargeting,79.85,48,41388
2025-05-10,Meta Ads,Brand,457.23,1547,1477
2025-05-10,TikTok Ads,Retargeting,223.99,1114,23613
2025-05-11,Google Ads,Brand,497.23,1374,35610
2025-05-11,Meta Ads,Retargeting,312.41,1263,30402
2025-05-11,TikTok Ads,Brand,343.77,1826,35309
2025-05-12,Google Ads,Brand,103.91,771,9737
2025-05-12,Meta Ads,Retargeting,189.58,124,28703
2025-05-12,TikTok Ads,Prospecting,201.97,784,8420
2025-05-13,Google Ads,Prospecting,458.74,531,36331
2025-05-13,Meta Ads,Brand,159.23,1009,20237
2025-05-13,TikTok Ads,Prospecting,122.27,1531,42364
2025-05-14,Google Ads,Retargeting,208.94,1910,20976
2025-05-14,Meta Ads,Retargeting,267.45,1849,3321
2025-05-14,TikTok Ads,Prospecting,448.4,1757,32999
2025-05-15,Google Ads,Brand,190.76,1280,31169
2025-05-15,Meta Ads,Prospecting,163.21,239,1337
2025-05-15,TikTok Ads,Prospecting,447.29,401,27349
2025-05-16,Google Ads,Prospecting,24.25,902,33246
2025-05-16,Meta Ads,Brand,60.68,1073,11073
2025-05-16,TikTok Ads,Prospecting,79.44,1018,1452
2025-05-17,Google Ads,Brand,389.33,532,15817
2025-05-17,Meta Ads,Prospecting,209.77,632,24887
2025-05-17,TikTok Ads,Prospecting,448.25,1118,18660
2025-05-18,Google Ads,Brand,494.9,1364,29793
2025-05-18,Meta Ads,Brand,87.14,1550,29440
2025-05-18,TikTok Ads,Brand,192.43,1802,47479
2025-05-19,Google Ads,Brand,73.12,603,3638
2025-05-19,Meta Ads,Brand,209.38,1543,22706
2025-05-19,TikTok Ads,Brand,96.95,427,32411
2025-05-20,Google Ads,Retargeting,491.81,263,28596
2025-05-20,Meta Ads,Prospecting,284.06,1658,45678
2025-05-20,TikTok Ads,Retargeting,81.17,1558,27206
2025-05-21,Google Ads,Retargeting,368.48,1539,26483
2025-05-21,Meta Ads,Brand,72.67,240,2386
2025-05-21,TikTok Ads,Brand,94.66,1044,1894
2025-05-22,Google Ads,Retargeting,133.52,1409,23422
2025-05-22,Meta Ads,Prospecting,488.69,1530,1526
2025-05-22,TikTok Ads,Prospecting,250.49,597,32845
2025-05-23,Google Ads,Brand,385.23,527,41475
2025-05-23,Meta Ads,Brand,370.04,402,17349
2025-05-23,TikTok Ads,Prospecting,388.03,1789,18270
2025-05-24,Google Ads,Retargeting,138.73,1700,29125
2025-05-24,Meta Ads,Brand,247.47,1623,7754
2025-05-24,TikTok Ads,Retargeting,370.62,1271,12874
2025-05-25,Google Ads,Brand,496.42,1230,42216
2025-05-25,Meta Ads,Retargeting,91.39,266,9670
2025-05-25,TikTok Ads,Prospecting,38.42,413,10581
2025-05-26,Google Ads,Prospecting,28.48,428,6959
2025-05-26,Meta Ads,Brand,202.57,1095,21083
2025-05-26,TikTok Ads,Retargeting,323.99,493,15534
2025-05-27,Google Ads,Prospecting,224.52,145,34414
2025-05-27,Meta Ads,Prospecting,329.06,643,8212
2025-05-27,TikTok Ads,Prospecting,194.52,1951,24004
2025-05-28,Google Ads,Retargeting,220.68,675,4116
2025-05-28,Meta Ads,Brand,39.63,126,44281
2025-05-28,TikTok Ads,Retargeting,174.39,604,31936
2025-05-29,Google Ads,Prospecting,456.07,226,29239
2025-05-29,Meta Ads,Brand,141.09,1026,24827
2025-05-29,TikTok Ads,Prospecting,166.09,218,44840
2025-05-30,Google Ads,Brand,347.82,1597,9539
2025-05-30,Meta Ads,Prospecting,193.07,1678,24683
2025-05-30,TikTok Ads,Retargeting,393.83,1103,40630
2025-05-31,Google Ads,Prospecting,134.36,585,14764
2025-05-31,Meta Ads,Retargeting,204.34,1836,7970
2025-05-31,TikTok Ads,Brand,322.19,1252,8887
2025-06-01,Google Ads,Brand,301.55,1888,43883
2025-06-01,Meta Ads,Brand,112.61,932,7464
2025-06-01,TikTok Ads,Brand,472.07,1287,23472
2025-06-02,Google Ads,Prospecting,368.17,1578,14238
2025-06-02,Meta Ads,Retargeting,365.97,109,9377
2025-06-02,TikTok Ads,Brand,220.74,1477,17549
2025-06-03,Google Ads,Retargeting,488.06,1852,24986
2025-06-03,Meta Ads,Prospecting,322.34,260,29581
2025-06-03,TikTok Ads,Brand,251.75,1092,34021
2025-06-04,Google Ads,Brand,100.13,581,46659
2025-06-04,Meta Ads,Brand,159.04,1977,38104
2025-06-04,TikTok Ads,Brand,401.31,1440,13464
2025-06-05,Google Ads,Retargeting,410.98,1033,45872
2025-06-05,Meta Ads,Retargeting,437.72,173,11847
2025-06-05,TikTok Ads,Prospecting,380.35,806,37863
2025-06-06,Google Ads,Prospecting,212.41,576,14561
2025-06-06,Meta Ads,Brand,21.73,1191,15274
2025-06-06,TikTok Ads,Retargeting,354.43,1820,34606
2025-06-07,Google Ads,Prospecting,261.83,1495,35411
2025-06-07,Meta Ads,Prospecting,165.64,471,20422
2025-06-07,TikTok Ads,Retargeting,148.89,263,12213
2025-06-08,Google Ads,Brand,41.89,507,20126
2025-06-08,Meta Ads,Brand,327.02,1949,19203
2025-06-08,TikTok Ads,Brand,149.81,1639,4376
2025-06-09,Google Ads,Retargeting,490.41,1706,14760
2025-06-09,Meta Ads,Retargeting,75.77,1348,23771
2025-06-09,TikTok Ads,Retargeting,310.48,775,22270
2025-06-10,Google Ads,Brand,474.29,1830,36997
2025-06-10,Meta Ads,Prospecting,366.6,856,41074
2025-06-10,TikTok Ads,Prospecting,175.82,137,42022
