date,platform,campaign,spend,clicks,impressions,cost_per_click,click_through_rate
2025-01-12,TikTok Ads,Retargeting,103.66,1755,37340,0.06,0.047
2025-01-13,Google Ads,Brand,105.7,64,12539,1.65,0.0051
2025-01-13,Meta Ads,Prospecting,457.11,62,45397,7.37,0.0014
2025-01-13,TikTok Ads,Brand,201.88,1632,8272,0.12,0.1973
2025-01-14,Google Ads,Prospecting,469.33,644,30897,0.73,0.0208
2025-01-14,Meta Ads,Brand,197.43,782,44313,0.25,0.0176
2025-01-14,TikTok Ads,Brand,471.76,1656,41842,0.28,0.0396
2025-01-15,Google Ads,Prospecting,441.63,153,8765,2.89,0.0175
2025-01-15,Meta Ads,Brand,443.71,287,13428,1.55,0.0214
2025-01-15,TikTok Ads,Brand,275.63,1442,25527,0.19,0.0565
2025-01-16,Google Ads,Prospecting,307.78,1322,17026,0.23,0.0776
2025-01-16,Meta Ads,Brand,386.28,1222,13392,0.32,0.0912
2025-01-16,TikTok Ads,Retargeting,161.21,324,22474,0.5,0.0144
2025-01-17,Google Ads,Brand,45.56,1649,19354,0.03,0.0852
2025-01-17,Meta Ads,Brand,428.72,1216,33046,0.35,0.0368
2025-01-17,TikTok Ads,Brand,369.1,1626,31845,0.23,0.0511
2025-01-18,Google Ads,Retargeting,315.15,362,34332,0.87,0.0105
2025-01-18,Meta Ads,Prospecting,380.63,1341,34368,0.28,0.039
2025-01-18,TikTok Ads,Prospecting,259.32,970,12730,0.27,0.0762
2025-01-19,Google Ads,Prospecting,361.99,1096,46515,0.33,0.0236
2025-01-19,Meta Ads,Prospecting,363.51,1033,32048,0.35,0.0322
2025-01-19,TikTok Ads,Prospecting,298.97,1326,39271,0.23,0.0338
2025-01-20,Google Ads,Retargeting,37.57,469,14303,0.08,0.0328
2025-01-20,Meta Ads,Prospecting,434.32,830,15325,0.52,0.0542
2025-01-20,TikTok Ads,Prospecting,224.01,792,38445,0.28,0.0206
2025-01-21,Google Ads,Brand,469.04,786,17680,0.6,0.0445
2025-01-21,Meta Ads,Retargeting,60.68,1559,6506,0.04,0.2396
2025-01-21,TikTok Ads,Prospecting,233.36,740,16084,0.32,0.046
2025-01-22,Google Ads,Retargeting,39.75,1069,41706,0.04,0.0256
2025-01-22,Meta Ads,Prospecting,224.53,977,29344,0.23,0.0333
2025-01-22,TikTok Ads,Prospecting,196.41,1038,21776,0.19,0.0477
2025-01-23,Google Ads,Prospecting,203.54,387,29946,0.53,0.0129
2025-01-23,Meta Ads,Brand,147.5,175,24533,0.84,0.0071
2025-01-23,TikTok Ads,Brand,161.37,1047,34606,0.15,0.0303
2025-01-24,Google Ads,Retargeting,328.95,1629,19115,0.2,0.0852
2025-01-24,Meta Ads,Brand,67.24,166,24608,0.41,0.0067
2025-01-24,TikTok Ads,Brand,282.09,703,13887,0.4,0.0506
2025-01-25,Google Ads,Retargeting,178.04,639,49838,0.28,0.0128
2025-01-25,Meta Ads,Retargeting,425.82,410,47244,1.04,0.0087
2025-01-25,TikTok Ads,Retargeting,499.04,1771,47935,0.28,0.0369
2025-01-26,Google Ads,Retargeting,280.7,554,1559,0.51,0.3554
2025-01-26,Meta Ads,Prospecting,155.29,729,27464,0.21,0.0265
2025-01-26,TikTok Ads,Prospecting,414.49,1571,43946,0.26,0.0357
2025-01-27,Google Ads,Brand,246.56,1069,10783,0.23,0.0991
2025-01-27,Meta Ads,Prospecting,129.24,1501,14754,0.09,0.1017
2025-01-27,TikTok Ads,Prospecting,132.19,1222,37216,0.11,0.0328
2025-01-28,Google Ads,Prospecting,366.8,964,23325,0.38,0.0413
2025-01-28,Meta Ads,Brand,170.28,404,29101,0.42,0.0139
2025-01-28,TikTok Ads,Retargeting,220.49,918,30489,0.24,0.0301
2025-01-29,Google Ads,Retargeting,34.45,304,38847,0.11,0.0078
2025-01-29,Meta Ads,Brand,166.67,1531,1634,0.11,0.937
2025-01-29,TikTok Ads,Prospecting,408.99,1728,24243,0.24,0.0713
2025-01-30,Google Ads,Prospecting,128.24,891,45942,0.14,0.0194
2025-01-30,Meta Ads,Prospecting,386.16,1434,36232,0.27,0.0396
2025-01-30,TikTok Ads,Prospecting,176.52,67,38196,2.63,0.0018
2025-01-31,Google Ads,Brand,462.63,334,22643,1.39,0.0148
2025-01-31,Meta Ads,Retargeting,322.32,1254,40835,0.26,0.0307
2025-01-31,TikTok Ads,Retargeting,436.13,800,14382,0.55,0.0556
2025-02-01,Google Ads,Prospecting,50.58,811,13342,0.06,0.0608
2025-02-01,Meta Ads,Prospecting,72.15,1186,30591,0.06,0.0388
2025-02-01,TikTok Ads,Retargeting,449.48,210,12234,2.14,0.0172
2025-02-02,Google Ads,Brand,343.95,383,3101,0.9,0.1235
2025-02-02,Meta Ads,Retargeting,309.61,74,13235,4.18,0.0056
2025-02-02,TikTok Ads,Brand,53.36,1992,26289,0.03,0.0758
2025-02-03,Google Ads,Prospecting,118.83,616,44225,0.19,0.0139
2025-02-03,Meta Ads,Retargeting,53.59,137,25159,0.39,0.0054
2025-02-03,TikTok Ads,Retargeting,25.3,689,27926,0.04,0.0247
2025-02-04,Google Ads,Prospecting,95.38,246,9463,0.39,0.026
2025-02-04,Meta Ads,Retargeting,220.84,1541,5506,0.14,0.2799
2025-02-04,TikTok Ads,Prospecting,478.45,1792,14531,0.27,0.1233
2025-02-05,Google Ads,Brand,437.82,654,29324,0.67,0.0223
2025-02-05,Meta Ads,Retargeting,339.1,345,40564,0.98,0.0085
2025-02-05,TikTok Ads,Retargeting,470.79,1223,14302,0.38,0.0855
2025-02-06,Google Ads,Retargeting,364.05,959,19051,0.38,0.0503
2025-02-06,Meta Ads,Brand,23.57,312,30211,0.08,0.0103
2025-02-06,TikTok Ads,Brand,415.8,1258,17176,0.33,0.0732
2025-02-07,Google Ads,Retargeting,177.87,1185,33175,0.15,0.0357
2025-02-07,Meta Ads,Prospecting,242.09,100,49319,2.42,0.002
2025-02-07,TikTok Ads,Brand,158.2,1824,30904,0.09,0.059
2025-02-08,Google Ads,Prospecting,356.15,1477,20493,0.24,0.0721
2025-02-08,Meta Ads,Prospecting,314.25,1678,12477,0.19,0.1345
2025-02-08,TikTok Ads,Prospecting,139.58,1863,41483,0.07,0.0449
2025-02-09,Google Ads,Retargeting,227.4,807,44193,0.28,0.0183
2025-02-09,Meta Ads,Brand,355.29,215,26791,1.65,0.008
2025-02-09,TikTok Ads,Retargeting,473.93,510,11350,0.93,0.0449
2025-02-10,Google Ads,Prospecting,443.63,1121,20129,0.4,0.0557
2025-02-10,Meta Ads,Retargeting,459.82,1449,48614,0.32,0.0298
2025-02-10,TikTok Ads,Retargeting,453.07,1881,33341,0.24,0.0564
2025-02-11,Google Ads,Prospecting,496.35,1152,8944,0.43,0.1288
2025-02-11,Meta Ads,Prospecting,56.74,235,34056,0.24,0.0069
2025-02-11,TikTok Ads,Prospecting,216.85,357,17565,0.61,0.0203
2025-02-12,Google Ads,Brand,262.91,966,2750,0.27,0.3513
2025-02-12,Meta Ads,Brand,326.66,1403,31271,0.23,0.0449
2025-02-12,TikTok Ads,Prospecting,184.96,837,13740,0.22,0.0609
2025-02-13,Google Ads,Prospecting,38.13,533,8515,0.07,0.0626
2025-02-13,Meta Ads,Retargeting,460.23,689,44928,0.67,0.0153
2025-02-13,TikTok Ads,Retargeting,242.84,964,5471,0.25,0.1762
2025-02-14,Google Ads,Brand,283.25,516,47765,0.55,0.0108
2025-02-14,Meta Ads,Prospecting,87.32,1700,19293,0.05,0.0881
2025-02-14,TikTok Ads,Brand,101.88,56,40779,1.82,0.0014
2025-02-15,Google Ads,Brand,105.07,274,36039,0.38,0.0076
2025-02-15,Meta Ads,Retargeting,207.61,178,45000,1.17,0.004
2025-02-15,TikTok Ads,Brand,345.14,334,29878,1.03,0.0112
2025-02-16,Google Ads,Prospecting,105.41,1483,3257,0.07,0.4553
2025-02-16,Meta Ads,Retargeting,275.5,925,46661,0.3,0.0198
2025-02-16,TikTok Ads,Brand,421.52,1681,35267,0.25,0.0477
2025-02-17,Google Ads,Retargeting,338.02,1371,7736,0.25,0.1772
2025-02-17,Meta Ads,Prospecting,351.37,929,4435,0.38,0.2095
2025-02-17,TikTok Ads,Retargeting,22.24,1601,25732,0.01,0.0622
2025-02-18,Google Ads,Brand,465.83,787,16632,0.59,0.0473
2025-02-18,Meta Ads,Brand,63.87,883,2831,0.07,0.3119
2025-02-18,TikTok Ads,Brand,181.82,413,45561,0.44,0.0091
2025-02-19,Google Ads,Retargeting,50.32,1983,7330,0.03,0.2705
2025-02-19,Meta Ads,Retargeting,100.58,362,3884,0.28,0.0932
2025-02-19,TikTok Ads,Prospecting,266.0,1690,22439,0.16,0.0753
2025-02-20,Google Ads,Prospecting,289.79,408,41938,0.71,0.0097
2025-02-20,Meta Ads,Brand,468.48,829,29041,0.57,0.0285
2025-02-20,TikTok Ads,Brand,131.56,236,24368,0.56,0.0097
2025-02-21,Google Ads,Prospecting,103.34,843,43860,0.12,0.0192
2025-02-21,Meta Ads,Prospecting,25.75,455,31066,0.06,0.0146
2025-02-21,TikTok Ads,Brand,51.69,1689,19248,0.03,0.0877
2025-02-22,Google Ads,Retargeting,319.48,109,5412,2.93,0.0201
2025-02-22,Meta Ads,Brand,217.33,1591,40247,0.14,0.0395
2025-02-22,TikTok Ads,Prospecting,491.89,228,47696,2.16,0.0048
2025-02-23,Google Ads,Retargeting,399.8,1908,38303,0.21,0.0498
2025-02-23,Meta Ads,Brand,140.93,214,40312,0.66,0.0053
2025-02-23,TikTok Ads,Prospecting,491.08,1446,26465,0.34,0.0546
2025-02-24,Google Ads,Retargeting,463.79,1599,46463,0.29,0.0344
2025-02-24,Meta Ads,Brand,179.38,1321,46064,0.14,0.0287
2025-02-24,TikTok Ads,Prospecting,489.45,1384,32596,0.35,0.0425
2025-02-25,Google Ads,Brand,180.85,1266,39340,0.14,0.0322
2025-02-25,Meta Ads,Prospecting,203.54,1331,49615,0.15,0.0268
2025-02-25,TikTok Ads,Brand,261.64,1463,1871,0.18,0.7819
2025-02-26,Google Ads,Brand,30.18,1574,9130,0.02,0.1724
2025-02-26,Meta Ads,Prospecting,133.47,897,16961,0.15,0.0529
2025-02-26,TikTok Ads,Retargeting,58.11,301,25544,0.19,0.0118
2025-02-27,Google Ads,Prospecting,162.38,330,25625,0.49,0.0129
2025-02-27,Meta Ads,Brand,328.18,507,48533,0.65,0.0104
2025-02-27,TikTok Ads,Retargeting,494.5,928,49447,0.53,0.0188
2025-02-28,Google Ads,Prospecting,84.45,670,43179,0.13,0.0155
2025-02-28,Meta Ads,Brand,270.02,869,43470,0.31,0.02
2025-02-28,TikTok Ads,Prospecting,380.26,489,49029,0.78,0.01
2025-03-01,Google Ads,Prospecting,184.51,441,36344,0.42,0.0121
2025-03-01,Meta Ads,Brand,455.18,1381,17275,0.33,0.0799
2025-03-01,TikTok Ads,Retargeting,354.21,475,40850,0.75,0.0116
2025-03-02,Google Ads,Prospecting,270.31,395,29990,0.68,0.0132
2025-03-02,Meta Ads,Retargeting,22.9,1801,33220,0.01,0.0542
2025-03-02,TikTok Ads,Brand,477.76,126,42573,3.79,0.003
2025-03-03,Google Ads,Brand,470.37,277,7013,1.7,0.0395
2025-03-03,Meta Ads,Brand,304.46,1722,14393,0.18,0.1196
2025-03-03,TikTok Ads,Brand,263.56,892,48512,0.3,0.0184
2025-03-04,Google Ads,Prospecting,169.5,1497,13945,0.11,0.1074
2025-03-04,Meta Ads,Brand,223.53,1260,17316,0.18,0.0728
2025-03-04,TikTok Ads,Prospecting,156.97,938,42654,0.17,0.022
2025-03-05,Google Ads,Brand,150.49,1620,32534,0.09,0.0498
2025-03-05,Meta Ads,Brand,476.49,756,27099,0.63,0.0279
2025-03-05,TikTok Ads,Prospecting,100.53,923,28701,0.11,0.0322
2025-03-06,Google Ads,Retargeting,312.51,907,11215,0.34,0.0809
2025-03-06,Meta Ads,Prospecting,29.51,801,29009,0.04,0.0276
2025-03-06,TikTok Ads,Brand,384.25,1907,20675,0.2,0.0922
2025-03-07,Google Ads,Retargeting,277.85,1152,48621,0.24,0.0237
2025-03-07,Meta Ads,Brand,143.5,969,21044,0.15,0.046
2025-03-07,TikTok Ads,Prospecting,155.95,1171,40716,0.13,0.0288
2025-03-08,Google Ads,Prospecting,54.53,299,47849,0.18,0.0062
2025-03-08,Meta Ads,Prospecting,113.94,1896,13427,0.06,0.1412
2025-03-08,TikTok Ads,Brand,26.16,1045,48865,0.03,0.0214
2025-03-09,Google Ads,Retargeting,199.64,848,28251,0.24,0.03
2025-03-09,Meta Ads,Prospecting,485.84,784,26168,0.62,0.03
2025-03-09,TikTok Ads,Prospecting,167.75,1224,5668,0.14,0.2159
2025-03-10,Google Ads,Prospecting,444.8,1907,9157,0.23,0.2083
2025-03-10,Meta Ads,Prospecting,467.42,352,13728,1.33,0.0256
2025-03-10,TikTok Ads,Prospecting,479.41,1599,48333,0.3,0.0331
2025-03-11,Google Ads,Prospecting,264.61,1020,42614,0.26,0.0239
2025-03-11,Meta Ads,Retargeting,196.73,138,43657,1.43,0.0032
2025-03-11,TikTok Ads,Prospecting,464.73,1526,17173,0.3,0.0889
2025-03-12,Google Ads,Brand,249.31,1907,24685,0.13,0.0773
2025-03-12,Meta Ads,Retargeting,359.15,77,46709,4.66,0.0016
2025-03-12,TikTok Ads,Retargeting,329.76,555,40677,0.59,0.0136
2025-03-13,Google Ads,Prospecting,473.25,321,17665,1.47,0.0182
2025-03-13,Meta Ads,Brand,309.03,1969,44424,0.16,0.0443
2025-03-13,TikTok Ads,Brand,25.92,1598,7049,0.02,0.2267
2025-03-14,Google Ads,Retargeting,361.57,807,27061,0.45,0.0298
2025-03-14,Meta Ads,Retargeting,301.36,1865,6265,0.16,0.2977
2025-03-14,TikTok Ads,Retargeting,456.78,1814,28718,0.25,0.0632
2025-03-15,Google Ads,Brand,418.28,537,46340,0.78,0.0116
2025-03-15,Meta Ads,Prospecting,260.31,1111,44154,0.23,0.0252
2025-03-15,TikTok Ads,Prospecting,301.32,1523,27975,0.2,0.0544
2025-03-16,Google Ads,Retargeting,437.32,243,42692,1.8,0.0057
2025-03-16,Meta Ads,Retargeting,392.81,725,10352,0.54,0.07
2025-03-16,TikTok Ads,Prospecting,379.39,1924,27081,0.2,0.071
2025-03-17,Google Ads,Retargeting,167.89,364,33225,0.46,0.011
2025-03-17,Meta Ads,Brand,66.5,1604,46633,0.04,0.0344
2025-03-17,TikTok Ads,Prospecting,271.98,1360,19896,0.2,0.0684
2025-03-18,Google Ads,Retargeting,226.86,381,25553,0.6,0.0149
2025-03-18,Meta Ads,Brand,357.94,425,32881,0.84,0.0129
2025-03-18,TikTok Ads,Brand,261.25,245,30534,1.07,0.008
2025-03-19,Google Ads,Retargeting,410.9,400,14168,1.03,0.0282
2025-03-19,Meta Ads,Brand,379.96,1677,13575,0.23,0.1235
2025-03-19,TikTok Ads,Prospecting,491.81,1805,27790,0.27,0.065
2025-03-20,Google Ads,Prospecting,320.88,1298,8156,0.25,0.1591
2025-03-20,Meta Ads,Retargeting,99.74,620,6616,0.16,0.0937
2025-03-20,TikTok Ads,Prospecting,79.85,151,23423,0.53,0.0064
2025-03-21,Google Ads,Brand,301.11,998,32797,0.3,0.0304
2025-03-21,Meta Ads,Retargeting,385.06,39,5001,9.87,0.0078
2025-03-21,TikTok Ads,Prospecting,380.86,34,44602,11.2,0.0008
2025-03-22,Google Ads,Retargeting,398.82,105,7346,3.8,0.0143
2025-03-22,Meta Ads,Brand,270.72,34,25619,7.96,0.0013
2025-03-22,TikTok Ads,Retargeting,269.64,1990,18421,0.14,0.108
2025-03-23,Google Ads,Prospecting,247.15,710,40608,0.35,0.0175
2025-03-23,Meta Ads,Prospecting,181.54,1416,23483,0.13,0.0603
2025-03-23,TikTok Ads,Prospecting,412.09,1947,24672,0.21,0.0789
2025-03-24,Google Ads,Retargeting,211.27,1270,4751,0.17,0.2673
2025-03-24,Meta Ads,Prospecting,439.08,1671,7565,0.26,0.2209
2025-03-24,TikTok Ads,Brand,239.32,1450,27332,0.17,0.0531
2025-03-25,Google Ads,Retargeting,421.0,1914,10100,0.22,0.1895
2025-03-25,Meta Ads,Brand,308.92,1799,35775,0.17,0.0503
2025-03-25,TikTok Ads,Prospecting,476.51,1558,17288,0.31,0.0901
2025-03-26,Google Ads,Prospecting,236.92,1425,44180,0.17,0.0323
2025-03-26,Meta Ads,Prospecting,267.16,1372,13316,0.19,0.103
2025-03-26,TikTok Ads,Brand,493.37,1981,22114,0.25,0.0896
2025-03-27,Google Ads,Brand,324.21,1808,3998,0.18,0.4522
2025-03-27,Meta Ads,Retargeting,176.25,929,16306,0.19,0.057
2025-03-27,TikTok Ads,Retargeting,252.58,1533,41146,0.16,0.0373
2025-03-28,Google Ads,Brand,187.2,1943,32203,0.1,0.0603
2025-03-28,Meta Ads,Retargeting,431.41,1873,7583,0.23,0.247
2025-03-28,TikTok Ads,Retargeting,204.73,1263,13784,0.16,0.0916
2025-03-29,Google Ads,Retargeting,88.72,1085,38479,0.08,0.0282
2025-03-29,Meta Ads,Retargeting,262.23,281,33632,0.93,0.0084
2025-03-29,TikTok Ads,Brand,164.65,1398,36962,0.12,0.0378
2025-03-30,Google Ads,Prospecting,100.67,933,8581,0.11,0.1087
2025-03-30,Meta Ads,Prospecting,338.07,513,16948,0.66,0.0303
2025-03-30,TikTok Ads,Brand,101.81,1953,44237,0.05,0.0441
2025-03-31,Google Ads,Retargeting,62.93,910,47908,0.07,0.019
2025-03-31,Meta Ads,Brand,96.91,1922,22397,0.05,0.0858
2025-03-31,TikTok Ads,Prospecting,387.83,471,48131,0.82,0.0098
2025-04-01,Google Ads,Prospecting,339.65,1968,44948,0.17,0.0438
2025-04-01,Meta Ads,Brand,339.43,1909,36031,0.18,0.053
2025-04-01,TikTok Ads,Retargeting,368.2,205,46336,1.8,0.0044
2025-04-02,Google Ads,Prospecting,438.53,1928,38746,0.23,0.0498
2025-04-02,Meta Ads,Retargeting,51.04,722,25707,0.07,0.0281
2025-04-02,TikTok Ads,Retargeting,376.62,1504,26011,0.25,0.0578
2025-04-03,Google Ads,Retargeting,328.21,1170,29636,0.28,0.0395
2025-04-03,Meta Ads,Brand,127.3,256,20069,0.5,0.0128
2025-04-03,TikTok Ads,Brand,73.46,716,49534,0.1,0.0145
2025-04-04,Google Ads,Retargeting,469.86,1544,8609,0.3,0.1793
2025-04-04,Meta Ads,Retargeting,196.51,1767,21537,0.11,0.082
2025-04-04,TikTok Ads,Prospecting,296.92,23,21368,12.91,0.0011
2025-04-05,Google Ads,Brand,303.23,408,26437,0.74,0.0154
2025-04-05,Meta Ads,Prospecting,173.43,767,45518,0.23,0.0169
2025-04-05,TikTok Ads,Brand,269.48,1252,39717,0.22,0.0315
2025-04-06,Google Ads,Brand,71.16,38,36277,1.87,0.001
2025-04-06,Meta Ads,Prospecting,171.64,1691,20452,0.1,0.0827
2025-04-06,TikTok Ads,Brand,259.92,953,10661,0.27,0.0894
2025-04-07,Google Ads,Retargeting,156.03,1549,44604,0.1,0.0347
2025-04-07,Meta Ads,Retargeting,36.49,675,21243,0.05,0.0318
2025-04-07,TikTok Ads,Retargeting,495.36,272,18920,1.82,0.0144
2025-04-08,Google Ads,Retargeting,295.51,1312,15136,0.23,0.0867
2025-04-08,Meta Ads,Prospecting,159.92,1999,25687,0.08,0.0778
2025-04-08,TikTok Ads,Brand,490.95,702,11007,0.7,0.0638
2025-04-09,Google Ads,Retargeting,121.09,1520,15750,0.08,0.0965
2025-04-09,Meta Ads,Retargeting,373.15,1910,12732,0.2,0.15
2025-04-09,TikTok Ads,Prospecting,369.15,632,44204,0.58,0.0143
2025-04-10,Google Ads,Brand,495.71,1142,26708,0.43,0.0428
2025-04-10,Meta Ads,Prospecting,222.77,989,23826,0.23,0.0415
2025-04-10,TikTok Ads,Prospecting,207.71,1101,48628,0.19,0.0226
2025-04-11,Google Ads,Prospecting,155.53,1910,13785,0.08,0.1386
2025-04-11,Meta Ads,Retargeting,431.0,826,7377,0.52,0.112
2025-04-11,TikTok Ads,Brand,175.24,1640,39036,0.11,0.042
2025-04-12,Google Ads,Brand,427.91,1473,20927,0.29,0.0704
2025-04-12,Meta Ads,Prospecting,334.22,1202,10015,0.28,0.12
2025-04-12,TikTok Ads,Prospecting,354.06,616,10491,0.57,0.0587
2025-04-13,Google Ads,Brand,124.71,1552,13822,0.08,0.1123
2025-04-13,Meta Ads,Retargeting,332.59,761,48576,0.44,0.0157
2025-04-13,TikTok Ads,Retargeting,68.93,1628,10673,0.04,0.1525
2025-04-14,Google Ads,Prospecting,476.19,894,45528,0.53,0.0196
2025-04-14,Meta Ads,Brand,464.47,216,24303,2.15,0.0089
2025-04-14,TikTok Ads,Prospecting,106.22,127,8690,0.84,0.0146
2025-04-15,Google Ads,Retargeting,332.05,1235,29430,0.27,0.042
2025-04-15,Meta Ads,Brand,320.95,847,17056,0.38,0.0497
2025-04-15,TikTok Ads,Brand,77.03,832,33022,0.09,0.0252
2025-04-16,Google Ads,Prospecting,350.23,1974,12304,0.18,0.1604
2025-04-16,Meta Ads,Retargeting,377.7,1608,46337,0.23,0.0347
2025-04-16,TikTok Ads,Retargeting,336.09,1612,31387,0.21,0.0514
2025-04-17,Google Ads,Retargeting,203.41,1315,43807,0.15,0.03
2025-04-17,Meta Ads,Prospecting,196.32,265,8643,0.74,0.0307
2025-04-17,TikTok Ads,Brand,78.58,1333,44829,0.06,0.0297
2025-04-18,Google Ads,Retargeting,127.97,1221,38550,0.1,0.0317
2025-04-18,Meta Ads,Retargeting,250.16,1440,49847,0.17,0.0289
2025-04-18,TikTok Ads,Brand,401.28,390,26163,1.03,0.0149
2025-04-19,Google Ads,Prospecting,499.98,1459,29420,0.34,0.0496
2025-04-19,Meta Ads,Prospecting,294.28,223,22314,1.32,0.01
2025-04-19,TikTok Ads,Brand,362.61,1785,36226,0.2,0.0493
2025-04-20,Google Ads,Brand,214.56,1455,2294,0.15,0.6343
2025-04-20,Meta Ads,Prospecting,286.91,1118,35739,0.26,0.0313
2025-04-20,TikTok Ads,Prospecting,50.69,1734,39320,0.03,0.0441
2025-04-21,Google Ads,Retargeting,362.6,1638,43709,0.22,0.0375
2025-04-21,Meta Ads,Brand,381.68,444,44160,0.86,0.0101
2025-04-21,TikTok Ads,Brand,106.72,1246,46561,0.09,0.0268
2025-04-22,Google Ads,Brand,22.56,935,21597,0.02,0.0433
2025-04-22,Meta Ads,Brand,38.79,1197,14515,0.03,0.0825
2025-04-22,TikTok Ads,Retargeting,97.38,1171,17827,0.08,0.0657
2025-04-23,Google Ads,Brand,60.61,275,34170,0.22,0.008
2025-04-23,Meta Ads,Prospecting,194.51,1134,12246,0.17,0.0926
2025-04-23,TikTok Ads,Prospecting,489.01,1367,1005,0.36,1.3602
2025-04-24,Google Ads,Brand,164.29,1957,35042,0.08,0.0558
2025-04-24,Meta Ads,Prospecting,336.4,931,10165,0.36,0.0916
2025-04-24,TikTok Ads,Retargeting,255.41,660,35253,0.39,0.0187
2025-04-25,Google Ads,Prospecting,310.96,1065,14752,0.29,0.0722
2025-04-25,Meta Ads,Retargeting,67.52,1698,3931,0.04,0.432
2025-04-25,TikTok Ads,Brand,37.63,310,20641,0.12,0.015
2025-04-26,Google Ads,Brand,479.56,1253,37180,0.38,0.0337
2025-04-26,Meta Ads,Brand,304.06,588,9420,0.52,0.0624
2025-04-26,TikTok Ads,Retargeting,318.71,172,37034,1.85,0.0046
2025-04-27,Google Ads,Prospecting,145.12,1350,11703,0.11,0.1154
2025-04-27,Meta Ads,Prospecting,238.91,1954,17657,0.12,0.1107
2025-04-27,TikTok Ads,Retargeting,224.16,1442,10387,0.16,0.1388
2025-04-28,Google Ads,Retargeting,117.81,1309,49016,0.09,0.0267
2025-04-28,Meta Ads,Prospecting,497.77,1447,43308,0.34,0.0334
2025-04-28,TikTok Ads,Brand,362.93,1174,44077,0.31,0.0266
2025-04-29,Google Ads,Retargeting,413.84,1258,11750,0.33,0.1071
2025-04-29,Meta Ads,Prospecting,414.35,667,29418,0.62,0.0227
2025-04-29,TikTok Ads,Prospecting,32.44,1256,17220,0.03,0.0729
2025-04-30,Google Ads,Brand,149.66,1108,8208,0.14,0.135
2025-04-30,Meta Ads,Retargeting,283.22,155,22584,1.83,0.0069
2025-04-30,TikTok Ads,Retargeting,62.71,1882,22857,0.03,0.0823
2025-05-01,Google Ads,Prospecting,90.24,1654,15795,0.05,0.1047
2025-05-01,Meta Ads,Prospecting,24.73,792,15563,0.03,0.0509
2025-05-01,TikTok Ads,Prospecting,476.86,1623,9093,0.29,0.1785
2025-05-02,Google Ads,Brand,272.71,1813,21090,0.15,0.086
2025-05-02,Meta Ads,Retargeting,414.24,1022,7261,0.41,0.1408
2025-05-02,TikTok Ads,Retargeting,187.47,1191,19480,0.16,0.0611
2025-05-03,Google Ads,Retargeting,150.11,222,4143,0.68,0.0536
2025-05-03,Meta Ads,Brand,172.64,1559,26530,0.11,0.0588
2025-05-03,TikTok Ads,Brand,185.68,1538,45421,0.12,0.0339
